Taxon,Vascular_Variant,Habit,Tendrils ,Flower_symmetry
Acevedoa_integerrimum_a,0,1,1,1
Allophylastrum_frutescens,0,0,0,0
Allophylus_leucoclados,0,0,0,1
Allophylus_psilospermus,0,0,0,1
Allophylus_semidentatus,0,0,0,1
Athyana_weinmanniifolia,0,0,0,1
Bridgesia_incisifolia,0,0,0,1
Cardiospermum_anomalum,0,1,1,1
Cardiospermum_corindum_a,0,1,1,1
Cardiospermum_grandiflorum_a,0,1,1,1
Cardiospermum_halicacabum_a,0,1,1,1
Cardiospermum_urvilleoides,0,1,1,1
Diatenopteryx_sorbifolia,0,0,0,1
Lophostigma_plumosum_a,0,1,1,1
Lophostigma_schunkei_a,0,1,1,1
Paullinia_acutangula_a,1,1,1,1
Paullinia_alata_a,1,1,1,1
Paullinia_alsmithii,1,1,1,1
Paullinia_anodonta,0,1,1,1
Paullinia_austin-smithii,1,1,1,1
Paullinia_bicorniculata_a,0,1,1,1
Paullinia_bidentata,0,1,1,1
Paullinia_bilobulata_a,0,1,1,1
Paullinia_boliviana,1,1,1,1
Paullinia_bracteosa,1,1,1,1
Paullinia_capreolata_a,0,1,1,1
Paullinia_carpopoda,1,1,1,1
Paullinia_cauliflora_a,1,1,1,1
Paullinia_cearensis,0,1,1,1
Paullinia_cf._microneura,0,1,1,1
Paullinia_clavigera_a,1,1,1,1
Paullinia_coriacea_a,0,1,1,1
Paullinia_correae,0,1,1,1
Paullinia_costata,0,1,1,1
Paullinia_cristata,0,1,1,1
Paullinia_cururu_a,1,1,1,1
Paullinia_dasystachya,1,1,1,1
Paullinia_degranvillei,0,1,1,1
Paullinia_densiflora,1,1,1,1
Paullinia_dodgei,0,1,1,1
Paullinia_echinata,0,1,1,1
Paullinia_elegans_a,1,1,1,1
Paullinia_elliptica,0,1,1,1
Paullinia_enneaphylla,0,1,1,1
Paullinia_eriocarpa_a,1,1,1,1
Paullinia_exalata,1,1,1,1
Paullinia_ferruginea,0,1,1,1
Paullinia_fistulosa,0,1,1,1
Paullinia_fuscescens,0,1,1,1
Paullinia_globosa_a,1,1,1,1
Paullinia_granatensis,0,1,1,1
Paullinia_hystrix,0,1,1,1
Paullinia_imberbis_a,1,1,1,1
Paullinia_ingifolia_a,0,1,1,1
Paullinia_jamaicensis,0,1,1,1
Paullinia_josecuatrii,1,1,1,1
Paullinia_killipii,1,1,1,1
Paullinia_latifolia,1,1,1,1
Paullinia_leiocarpa_a,1,1,1,1
Paullinia_lingulata,0,1,1,1
Paullinia_livescens,0,1,1,1
Paullinia_macrocarpa_a,1,1,1,1
Paullinia_macrophylla,1,1,1,1
Paullinia_meliifolia,0,1,1,1
Paullinia_micrantha_a,1,1,1,1
Paullinia_neglecta_a,1,1,1,1
Paullinia_nobilis,1,1,1,1
Paullinia_obovata,1,1,1,1
Paullinia_olivacea_a,0,1,1,1
Paullinia_paullinioides,0,1,1,1
Paullinia_pinnata_a,1,1,1,1
Paullinia_plagioptera,0,1,1,1
Paullinia_platymisca_a,0,1,1,1
Paullinia_prevostiana_a,0,1,1,1
Paullinia_pseudota,1,1,1,1
Paullinia_reticulata_a,0,1,1,1
Paullinia_revoluta,0,1,1,1
Paullinia_rhomboidea,0,1,1,1
Paullinia_rubiginosa_a,1,1,1,1
Paullinia_rugosa_a,1,1,1,1
Paullinia_selenoptera_a,1,1,1,1
Paullinia_serjaniifolia_a,1,1,1,1
Paullinia_setosa_a,1,1,1,1
Paullinia_simulans_a,1,1,1,1
Paullinia_sp._b,0,1,1,1
Paullinia_sp._d,1,1,1,1
Paullinia_spicata,1,1,1,1
Paullinia_stellata,1,1,1,1
Paullinia_stenopetala,0,1,1,1
Paullinia_stipularis,1,1,1,1
Paullinia_tetragona,0,1,1,1
Paullinia_tomentosa,0,1,1,1
Paullinia_tricornis,0,1,1,1
Paullinia_trigonia,1,1,1,1
Paullinia_trilatera,1,1,1,1
Paullinia_trisulca_a,1,1,1,1
Paullinia_turbacensis,1,1,1,1
Paullinia_unifoliolata,0,1,1,1
Paullinia_venezuelana,0,1,1,1
Paullinia_verecunda_a,1,1,1,1
Paullinia_vespertilio_a,0,1,1,1
Paullinia_weinmanniifolia_a,1,1,1,1
Paullinia_xestophylla_a,0,1,1,1
Serjania_acuta,0,1,1,1
Serjania_acutidentata,1,1,1,1
Serjania_adenophylla,1,1,1,1
Serjania_altissima,1,1,1,1
Serjania_ampelopsis,0,1,1,1
Serjania_atrolineata_a,1,1,1,1
Serjania_bahiana,0,1,1,1
Serjania_biternata,1,1,1,1
Serjania_brachycarpa,0,1,1,1
Serjania_calligera,0,1,1,1
Serjania_caracasana,1,1,1,1
Serjania_cardiospermoides,1,1,1,1
Serjania_clematidifolia,1,1,1,1
Serjania_columbiana,1,1,1,1
Serjania_communis_a,1,1,1,1
Serjania_confertiflora_a,1,1,1,1
Serjania_coradinii,1,1,1,1
Serjania_cornigera_a,1,1,1,1
Serjania_corrugata_a,1,1,1,1
Serjania_crassifolia,1,1,1,1
Serjania_diffusa,1,1,1,1
Serjania_dumicola,1,1,1,1
Serjania_dura,0,1,1,1
Serjania_emarginata,0,1,1,1
Serjania_eriocarpa_a,0,1,1,1
Serjania_erythrocaulis,1,1,1,1
Serjania_faveolata,1,1,1,1
Serjania_ferruginea,1,1,1,1
Serjania_flaviflora,0,1,1,1
Serjania_fluminensis_a,1,1,1,1
Serjania_foveata,0,1,1,1
Serjania_fuscifolia,1,1,1,1
Serjania_glutinosa,0,1,1,1
Serjania_grammatophora,0,1,1,1
Serjania_hatschbachii,1,1,1,1
Serjania_impressa,1,1,1,1
Serjania_inebrians,1,1,1,1
Serjania_inflata,1,1,1,1
Serjania_inscripta,1,1,1,1
Serjania_insignis,1,1,1,1
Serjania_lancistipula,1,1,1,1
Serjania_laruotteana,1,1,1,1
Serjania_lateritia,0,1,1,1
Serjania_laxiflora,0,1,1,1
Serjania_leptocarpa,1,1,1,1
Serjania_longistipula,1,1,1,1
Serjania_mansiana_a,0,1,1,1
Serjania_marginata_a,1,1,1,1
Serjania_membranacea,0,1,1,1
Serjania_meridionalis_a,1,1,1,1
Serjania_mexicana_a,1,1,1,1
Serjania_mollis_a,1,1,1,1
Serjania_monogyna,1,1,1,1
Serjania_noxia,1,1,1,1
Serjania_nutans,1,1,1,1
Serjania_orbicularis,0,1,1,1
Serjania_ovalifolia,1,1,1,1
Serjania_oxyphylla,0,1,1,1
Serjania_paniculata,1,1,1,1
Serjania_paradoxa,1,1,1,1
Serjania_paucidentata_a,1,1,1,1
Serjania_pedicellaris,0,1,1,1
Serjania_perulacea,1,1,1,1
Serjania_piscatoria,1,1,1,1
Serjania_platycarpa_a,0,1,1,1
Serjania_polystachya,0,1,1,1
Serjania_psilophylla,0,1,1,1
Serjania_pterarthra,0,1,1,1
Serjania_purpurascens,1,1,1,1
Serjania_pyramidata_a,1,1,1,1
Serjania_racemosa,1,1,1,1
Serjania_rhombea,1,1,1,1
Serjania_rigida,1,1,1,1
Serjania_rubicaulis,1,1,1,1
Serjania_rufa_a,1,1,1,1
Serjania_rufisepala,0,1,1,1
Serjania_salzmanniana,1,1,1,1
Serjania_scopulifera,1,1,1,1
Serjania_seemannii,1,1,1,1
Serjania_seriana_a,1,1,1,1
Serjania_serjanioides,0,1,1,1
Serjania_sphaerococca_a,1,1,1,1
Serjania_striata,0,1,1,1
Serjania_subimpunctata,1,1,1,1
Serjania_subrotundifolia,1,1,1,1
Serjania_sufferruginea,1,1,1,1
Serjania_tailloniana,1,1,1,1
Serjania_tenuifolia,1,1,1,1
Serjania_tenuis,1,1,1,1
Serjania_trachygona,1,1,1,1
Serjania_tripleuria,1,1,1,1
Serjania_triquetra,1,1,1,1
Serjania_tristis,1,1,1,1
Serjania_unidentata,1,1,1,1
Serjania_yucatanensis,1,1,1,1
Thinouia_compressa_a,0,1,1,0
Thinouia_mucronata_a,1,1,1,0
