generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0704153,0,0.005,0
1000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.107873,0.0135691,0.000377518,0
1000,Bridgesia_incisifolia,NA,58.0675,0.0735465,0.00824933,0.905049,0
1000,Athyana_weinmanniifolia,NA,44.9235,0.0203984,0.0156839,0.0877185,0
2000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.107767,0.0201837,0.00378352,0
2000,Paullinia_tricornis,NA,56.6483,0.0017436,0.000951869,0.120295,0
2000,Serjania_impressa,NA,62.361,0.108065,0.00162119,0.0399597,0
2000,Bridgesia_incisifolia,NA,56.6384,0.0841179,0.0195786,0.315834,0
2000,Serjania_sphaerococca_a,Serjania_caracasana,60.1564,0.371182,0.00335631,0.233086,0
2000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,5.5934,0.0628402,0.0210923,0.150668,0
3000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.126086,0.00889577,0.000156594,0
3000,Serjania_bahiana,Serjania_scopulifera,58.5474,0.108842,-0.0107155,0.0962807,0
3000,Paullinia_vespertilio_a,NA,65.5204,0.0383426,0.00420398,0.191357,0
3000,Serjania_tailloniana,NA,62.2676,0.497877,0.0142413,0.100716,0
3000,Lophostigma_schunkei_a,NA,55.4381,0.343429,0.00248601,0.0216412,0
3000,Bridgesia_incisifolia,NA,50.8781,0.0398906,0.0437406,0.522654,0
3000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,4.78765,0.332693,0.0142685,0.53488,0
4000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.125153,0.00889577,0.000545642,0
4000,Serjania_psilophylla,NA,65.4064,0.0761926,-0.00367413,0.496398,0
4000,Serjania_diffusa,NA,64.8947,0.817237,0.00996908,0.1439,0
4000,Bridgesia_incisifolia,NA,54.5091,0.0759676,0.00633332,0.695279,0
4000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,10.1822,0.332974,0.000932403,0.449661,0
5000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.129266,0.00790854,0.000404862,0
5000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,18.0342,0.16008,-0.00599914,0.214246,0
6000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.120988,-0.00287774,0.0177427,0
6000,Paullinia_spicata,NA,63.7578,0.210452,0.00425896,0.193254,0
6000,Serjania_mollis_a,Serjania_insignis,61.6228,0.359535,-0.0191576,0.151123,0
6000,Paullinia_globosa_a,Acevedoa_integerrimum_a,48.2162,0.326775,-0.0370315,0.0020015,0
6000,Bridgesia_incisifolia,NA,25.71,0.0426639,0.00580434,0.107354,0
6000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,4.10177,0.0180495,0.0133136,0.086119,0
6000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,25.6754,0.0941188,-0.000323028,0.0868002,0
7000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.11468,-0.00492536,0.0419893,0
7000,Paullinia_spicata,NA,64.4084,0.149758,-0.000926727,0.254371,0
7000,Serjania_dumicola,NA,62.6332,0.422835,-0.0115,0.364192,0
7000,Paullinia_globosa_a,Urvillea_ulmacea_a,42.3148,0.45401,-0.0449172,0.000592665,0
7000,Thinouia_myriantha_a,Thinouia_silveirae,60.7127,0.495901,-0.0134911,0.176463,0
7000,Bridgesia_incisifolia,NA,58.3717,0.27254,-0.00637841,0.518602,0
8000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0492486,0.0104739,0.017497,0
8000,Urvillea_filipes,NA,63.8575,0.0526498,0.00435461,0.212707,0
8000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.4425,0.57589,-0.0763455,0.00115545,0
8000,Allophylus_semidentatus,Allophylastrum_frutescens,53.7233,0.272694,-0.0139711,0.0718464,0
9000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0444556,0.0132529,0.0254593,0
9000,Paullinia_cearensis,NA,56.7596,0.112524,-0.0390087,0.0853775,0
9000,Paullinia_plagioptera,NA,64.1577,0.228758,0.00205439,0.0415562,0
9000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.8614,0.590241,-0.0763455,0.000570187,0
9000,Allophylus_semidentatus,Allophylus_leucoclados,54.9769,0.407545,-0.00525587,0.00152935,0
10000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0294334,0.00127007,0.00500703,0
10000,Paullinia_enneaphylla,NA,62.1721,0.605875,0.0067207,0.0177424,0
10000,Serjania_unidentata,NA,62.5018,0.0745876,0.0113658,0.346599,0
10000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.5234,0.692109,-0.0868778,0.0040989,0
10000,Allophylus_semidentatus,Allophylus_leucoclados,56.4637,0.748885,-0.0140148,0.385848,0
11000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0558135,-0.0132476,0.00564894,0
11000,Serjania_longistipula,NA,66.1911,0.112956,0.013888,0.289831,0
11000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.9033,0.941408,-0.100871,0.00237271,0
11000,Allophylus_semidentatus,Allophylastrum_frutescens,47.8729,0.24296,-0.00601677,0.0135377,0
12000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.162741,0.00229582,0.00120117,0
12000,Serjania_rigida,NA,64.4855,0.0804472,0.00948415,0.397435,0
12000,Bridgesia_incisifolia,NA,34.239,0.0860709,-0.00361415,0.218877,0
12000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,3.90057,0.0644552,0.00689172,0.109859,0
13000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0509312,0.0148971,0.0179678,0
13000,Paullinia_capreolata_a,NA,64.8967,0.0403572,-0.00814281,1.3756,0
13000,Paullinia_globosa_a,Urvillea_ulmacea_a,43.5723,0.433645,-0.0461408,0.00021091,0
13000,Allophylus_semidentatus,Allophylus_leucoclados,56.3286,0.479174,-0.00445943,0.181903,0
14000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.032007,0.00891909,0.00178649,0
14000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.3348,0.429308,-0.0535859,0.0122959,0
14000,Allophylus_semidentatus,Allophylus_leucoclados,56.2953,0.45307,-0.0247805,0.0652772,0
15000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0784611,-0.0048019,0.0197077,0
15000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.2609,0.569228,-0.0790891,3.42758e-05,0
15000,Allophylus_semidentatus,Allophylus_leucoclados,55.713,0.647371,-0.00743863,0.133954,0
16000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0540594,-0.0048019,0.00334534,0
16000,Paullinia_xestophylla_a,NA,59.5965,0.221758,-0.0333145,0.033974,0
16000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.4211,0.620928,-0.0790891,0.00146612,0
16000,Allophylus_semidentatus,Allophylus_leucoclados,56.4938,0.400639,0.0104889,0.0303513,0
17000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.142023,0.00655837,0.00425211,0
17000,Paullinia_carpopoda,NA,61.4231,0.135155,0.00151355,0.0498253,0
17000,Serjania_platycarpa_a,NA,64.8977,0.0295954,0.0158216,1.13285,0
17000,Bridgesia_incisifolia,NA,41.376,0.360014,-0.00568844,0.438234,0
17000,Serjania_triquetra,Serjania_inebrians,60.2712,0.309175,0.0043123,0.0516388,0
17000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,15.1945,0.483908,-0.0382755,0.333444,0
18000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0362898,0.0218606,0.0138347,0
18000,Serjania_platycarpa_a,NA,62.68,0.613753,0.00155988,0.0413634,0
18000,Cardiospermum_grandiflorum_a,NA,61.2106,0.156082,-0.0149413,0.1331,0
18000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.9738,0.494067,-0.0600791,0.0133036,0
18000,Thinouia_compressa_a,NA,62.2248,0.453702,0.00998783,0.188062,0
18000,Allophylus_semidentatus,Allophylus_leucoclados,55.7113,0.5362,0.00715626,0.436806,0
19000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0627231,-0.00228116,0.00913714,0
19000,Paullinia_xestophylla_a,NA,63.7216,0.0293984,0.0142709,0.495656,0
19000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.2426,0.559459,-0.0749373,0.000513212,0
19000,Allophylus_semidentatus,Allophylastrum_frutescens,51.2959,0.360265,-0.00369303,0.203372,0
20000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0589857,-0.00351151,0.00418801,0
20000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.7919,0.548442,-0.0679858,0.00055621,0
20000,Allophylus_semidentatus,Allophylus_leucoclados,55.6406,0.764178,0.0121953,0.215039,0
21000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0447692,0.0267714,0.0306614,0
21000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.2694,0.552889,-0.0782909,0.00239914,0
21000,Allophylus_semidentatus,Allophylus_leucoclados,54.3419,0.628823,0.00247683,0.038229,0
22000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0460626,0.00174994,0.0114468,0
22000,Paullinia_verecunda_a,NA,66.04,0.002645,0.0079974,0.0560732,0
22000,Paullinia_jamaicensis,NA,63.2277,0.286115,0.0415053,0.0857456,0
22000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.0775,0.660254,-0.0744267,0.0039261,0
22000,Allophylus_semidentatus,Allophylus_leucoclados,55.7375,0.564405,-0.00352254,0.060774,0
23000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0326257,0.0161041,0.02432,0
23000,Serjania_bahiana,NA,63.4186,0.175455,-0.0176051,0.176015,0
23000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.8581,0.603583,-0.0778419,0.00324725,0
23000,Allophylus_semidentatus,Allophylus_leucoclados,56.7583,0.429269,0.0160685,0.100969,0
24000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0730435,-0.0136092,0.00223643,0
24000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.2925,0.558765,-0.0700003,0.000643054,0
24000,Allophylus_semidentatus,Allophylastrum_frutescens,51.0101,0.326935,-0.00390428,0.418718,0
24000,Allophylus_semidentatus,Allophylus_leucoclados,56.4822,0.376163,-0.012755,0.0101433,0
25000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0362871,0.0073908,0.000235906,0
25000,Serjania_ferruginea,NA,60.6807,0.152366,0.00531466,0.303869,0
25000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.1227,0.837459,-0.0973209,0.00891282,0
25000,Allophylus_semidentatus,Allophylus_leucoclados,56.7073,0.569195,0.0142369,0.0879534,0
26000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0395375,0.0134109,0.00497526,0
26000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.3066,0.860087,-0.0973209,0.00505943,0
26000,Allophylus_semidentatus,Allophylastrum_frutescens,45.6313,0.270797,0.0115051,0.113022,0
27000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0306063,0.0182751,0.00302327,0
27000,Paullinia_pseudota,NA,64.3863,0.0441818,-0.0199684,0.169792,0
27000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.9396,0.751005,-0.0826398,0.00358877,0
27000,Thouinia_acuminata,NA,65.2174,0.0228775,0.00359875,0.0182237,0
27000,Allophylus_semidentatus,Allophylastrum_frutescens,42.6691,0.237151,0.0180577,0.0541708,0
28000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0333064,0.0345758,0.00395277,0
28000,Paullinia_globosa_a,Urvillea_ulmacea_a,47.3065,0.65819,-0.0851563,0.000694883,0
28000,Allophylus_semidentatus,Allophylastrum_frutescens,47.2429,0.462729,0.0129727,0.139858,0
29000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0356809,0.014293,0.00208524,0
29000,Serjania_inflata,NA,63.4172,0.389278,-0.0157492,0.086736,0
29000,Cardiospermum_halicacabum_a,Cardiospermum_grandiflorum_a,52.2575,0.551356,-0.0339222,0.23514,0
29000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.6833,0.701278,-0.0859964,0.00362094,0
29000,Allophylus_semidentatus,Allophylastrum_frutescens,53.6824,0.665167,-0.0185224,0.0169582,0
30000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0565576,0.00205238,0.000513393,0
30000,Bridgesia_incisifolia,NA,45.5744,0.106296,-0.00602101,0.035179,0
30000,Paullinia_granatensis,NA,65.6362,1.11691,-0.000379717,0.105986,0
30000,Acevedoa_integerrimum_a,NA,53.7244,0.276146,0.0048477,0.435508,0
30000,Paullinia_globosa_a,Urvillea_ulmacea_a,44.6743,0.884505,-0.0954427,0.000287775,0
30000,Allophylus_semidentatus,Allophylus_leucoclados,55.9215,1.27068,0.00386913,1.00027,0
31000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0437272,0.00286975,0.0109742,0
31000,Serjania_scopulifera,NA,64.5843,0.0169255,-0.0116185,0.575267,0
31000,Serjania_hatschbachii,NA,62.4773,0.389711,-0.00895931,0.470586,0
31000,Acevedoa_integerrimum_a,NA,56.8493,0.149433,0.00430154,0.375465,0
31000,Paullinia_globosa_a,Urvillea_ulmacea_a,45.9639,0.752073,-0.088641,0.00763433,0
31000,Allophylus_semidentatus,Allophylus_leucoclados,55.041,0.623371,-0.018449,0.138988,0
31000,Paullinia_lingulata,NA,65.5184,0.0127613,-0.00400245,0.145029,0
31000,Bridgesia_incisifolia,NA,53.408,0.00783484,0.0014022,0.0729049,0
32000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0414468,0.00601215,0.00776799,0
32000,Diatenopteryx_sorbifolia,NA,57.8573,0.0596571,-0.0141882,0.333031,0
32000,Acevedoa_integerrimum_a,NA,56.7174,0.0811581,-0.00381017,0.377837,0
32000,Acevedoa_integerrimum_a,NA,63.4998,0.0965739,-0.0101293,0.310363,0
32000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.5959,0.830527,-0.0969264,0.00047505,0
32000,Allophylus_semidentatus,Allophylus_leucoclados,55.6281,0.680428,-0.0184469,0.0547822,0
33000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0491875,-0.00224132,0.0012841,0
33000,Paullinia_macrocarpa_a,NA,61.6921,0.345772,0.000472989,0.0626465,0
33000,Serjania_rigida,NA,60.6159,0.119355,-0.000418253,0.184781,0
33000,Acevedoa_integerrimum_a,NA,61.8689,0.0606991,-0.0188752,0.758137,0
33000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.7052,0.828711,-0.0990341,0.0025229,0
33000,Allophylus_semidentatus,Allophylus_leucoclados,55.6765,0.728199,-0.0195097,0.296418,0
34000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0368429,0.037798,0.00499541,0
34000,Acevedoa_integerrimum_a,NA,61.7899,0.402464,-0.00275688,1.52971,0
34000,Serjania_nutans,NA,62.915,0.177228,-0.0216296,0.0379086,0
34000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.7245,0.895987,-0.0967518,0.0130262,0
34000,Allophylus_semidentatus,Allophylastrum_frutescens,47.4672,0.663626,-0.00234059,0.469346,0
35000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.154893,0.003362,0.00176521,0
35000,Bridgesia_incisifolia,NA,37.8331,0.285919,-0.00397693,0.396628,0
35000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,15.641,0.209738,-0.010671,0.303247,0
36000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.152777,0.00459802,0.000128474,0
36000,Paullinia_setosa_a,NA,62.4555,0.133677,-0.00494134,0.0931435,0
36000,Bridgesia_incisifolia,NA,39.0427,0.478418,-0.0419661,0.701228,0
36000,Bridgesia_incisifolia,NA,39.9536,0.0122909,-0.0114986,0.236183,0
36000,Diatenopteryx_sorbifolia,Athyana_weinmanniifolia,3.14098,0.333556,-0.0192079,0.159833,0
37000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0378971,0.0313716,0.000288131,0
37000,Paullinia_vespertilio_a,NA,62.0755,0.373881,-0.0104767,0.336939,0
37000,Serjania_lancistipula,NA,65.3002,0.800183,0.00606291,1.42503,0
37000,Paullinia_globosa_a,Serjania_mexicana_a,48.9849,0.603261,-0.0832245,0.00762794,0
37000,Allophylus_semidentatus,Allophylastrum_frutescens,35.7046,0.160007,0.0104494,0.0872595,0
38000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0453525,0.0259353,0.0011707,0
38000,Paullinia_densiflora,NA,64.2079,0.51307,-0.0226568,0.270955,0
38000,Paullinia_globosa_a,Serjania_mexicana_a,48.6043,0.533606,-0.0787607,0.00276569,0
39000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0377569,0.021797,0.0319253,0
39000,Paullinia_globosa_a,Urvillea_ulmacea_a,46.8623,0.607171,-0.0799824,0.0155104,0
39000,Thinouia_myriantha_a,Thinouia_trifoliolata_a,44.9145,0.093322,-0.0086556,0.00124854,0
40000,Paullinia_globosa_a,Diatenopteryx_sorbifolia,0,0.0429012,0.0235437,0.0101099,0
