generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.07132,-805.354,1,1
1000,2,8.01831,-700.618,0.645515,0.438
2000,5,17.6805,-700.837,1.45209,0.509
3000,6,13.9461,-700.901,3.52676,0.470177
4000,4,10.1235,-697.435,1.86547,0.54
5000,1,6.27456,-703.474,0.711195,0.459
6000,6,19.6833,-668.502,1.9207,0.482
7000,5,9.51819,-669.471,3.02677,0.495
8000,3,0.558739,-648.195,2.87319,0.511
9000,4,0.786779,-645.126,3.80465,0.467
10000,4,-1.54924,-645.25,1.67964,0.474
11000,3,-7.32207,-644.654,2.27693,0.528
12000,3,13.3038,-695.801,0.417731,0.511541
13000,3,3.71785,-658.441,2.12578,0.510364
14000,2,3.36795,-653.505,0.790631,0.45
15000,2,-3.05199,-646.473,1.35206,0.475568
16000,3,-1.11727,-642.97,2.00664,0.378
17000,5,6.66685,-698.823,6.27252,0.4764
18000,5,6.34223,-659.28,3.20603,0.46475
19000,3,0.847438,-648.396,1.79051,0.45
20000,2,-1.1076,-646.991,1.56996,0.407
21000,2,-3.93155,-647.486,1.79859,0.413
22000,4,1.37,-646.694,2.90533,0.482
23000,3,-1.79113,-645.555,3.1875,0.451
24000,3,0.647561,-646.635,2.81129,0.448
25000,3,-9.36799,-639.971,4.74957,0.451667
26000,2,-10.0934,-643.941,3.1253,0.465
27000,4,1.55892,-648.451,3.03727,0.519
28000,2,-6.44231,-645.787,1.3912,0.48
29000,4,-5.56502,-650.673,3.97229,0.4762
30000,5,-8.14749,-639.944,3.76969,0.419
31000,7,4.99671,-639.253,4.61194,0.475333
32000,5,-0.237307,-634.803,1.1655,0.4955
33000,5,-4.85541,-635.525,3.43574,0.492
34000,4,-10.5122,-642.857,1.38456,0.475
35000,2,8.15281,-697.989,0.659139,0.515278
36000,4,6.91941,-696.687,4.20545,0.44
37000,4,-4.95086,-651.412,2.07891,0.470167
38000,2,-5.39942,-654.601,2.18401,0.441
39000,2,-2.55805,-658.472,1.70588,0.469
40000,1,-8.04748,-651.456,0.279428,0.39
41000,1,-5.0275,-656.439,1.75833,0.373
42000,2,-2.60619,-644.689,0.585254,0.457419
43000,2,7.35443,-704.115,1.52739,0.497857
44000,2,-8.85061,-647.123,0.615744,0.4629
45000,3,0.987093,-645.576,1.07987,0.422
46000,2,-3.71438,-645.173,0.637572,0.442
47000,3,1.43357,-657.206,1.21354,0.4314
48000,6,7.68211,-664.069,3.27453,0.431286
49000,2,-0.68777,-659.698,1.41668,0.486
50000,1,-5.77812,-655.41,3.2148,0.426
51000,1,-2.48058,-657.378,0.734246,0.472
52000,2,-0.764216,-660.122,1.45644,0.445
53000,3,0.955616,-646.057,2.80161,0.429
54000,3,-7.74656,-645.069,2.54513,0.45025
55000,6,8.29338,-695.435,2.49327,0.486
56000,2,-3.41554,-644.573,1.21235,0.4145
57000,3,2.22059,-652.644,1.1034,0.452818
58000,4,-0.856976,-649.668,4.15424,0.472
59000,4,-4.28317,-638.65,4.41549,0.44
60000,2,-6.26182,-641.093,1.40503,0.42
61000,2,-4.48372,-647.993,0.900552,0.429
62000,4,11.5226,-687.37,3.44512,0.462857
63000,5,17.4053,-688.713,1.47492,0.499
64000,5,17.5211,-684.713,2.11224,0.488
65000,4,2.18608,-645.801,2.2557,0.45275
66000,2,-5.90203,-648.904,2.60949,0.458
67000,6,-3.92351,-642.429,3.38614,0.4625
68000,2,-13.8657,-637.149,0.533724,0.459
69000,4,-5.55468,-647.993,2.46723,0.44
70000,4,-4.79556,-645.387,2.06904,0.513
71000,1,-6.09373,-656.724,2.27293,0.4602
72000,2,1.35992,-658.166,0.314405,0.47175
73000,1,-5.02081,-655.042,0.377805,0.45
74000,3,-1.27144,-648.599,2.7346,0.459313
75000,3,1.49267,-645.937,1.42503,0.444
76000,3,-2.36292,-649.39,1.41271,0.4325
77000,2,-2.03514,-651.162,1.41138,0.465
78000,4,0.699574,-651.04,2.47817,0.433
79000,2,-1.39971,-653.467,0.52211,0.467167
80000,1,-3.04287,-660.705,1.71796,0.4472
81000,1,-6.49315,-658.238,0.496814,0.295
82000,1,-8.18699,-652.68,1.56591,0.453727
83000,1,-6.28774,-653.92,1.44614,0.446
84000,1,-9.92003,-650.241,0.986015,0.406
85000,3,-3.74567,-641.367,1.82932,0.430667
86000,4,-6.99276,-647.483,4.07867,0.454
87000,4,-0.311867,-643.322,2.00727,0.526
88000,1,0.303651,-664.529,1.70044,0.4245
89000,3,0.71454,-663.435,2.96155,0.454
90000,1,-2.83676,-654.961,0.0491172,0.399
91000,3,-8.03485,-653.16,1.41515,0.406
92000,1,-5.48192,-655.843,1.19417,0.407091
93000,3,-2.86148,-652.56,1.358,0.438667
94000,3,-7.88472,-638.722,3.19798,0.41
95000,3,-1.13184,-649.445,2.85284,0.43075
96000,2,-0.478067,-649.222,1.68418,0.434722
97000,2,-3.77042,-647.572,0.882401,0.435
98000,2,-2.65356,-650.449,0.997983,0.4
99000,3,-6.16863,-644.235,1.91865,0.4552
100000,3,-4.26312,-643.397,0.531909,0.448
101000,5,-0.135843,-644.538,2.86109,0.445667
102000,2,-8.26552,-646.498,2.25087,0.456
103000,2,-10.5908,-643.298,2.53695,0.457
104000,3,-6.44596,-641.744,1.05554,0.455167
105000,4,-5.59612,-638.938,2.6914,0.471
106000,3,-3.31457,-639.317,1.42116,0.46
107000,3,-5.66622,-648.239,1.47759,0.466182
108000,5,1.02519,-649.588,3.21788,0.472
109000,2,-6.35574,-649.537,2.11772,0.462
110000,4,-2.15347,-642.628,4.37799,0.488
111000,3,-6.31284,-643.513,3.19933,0.454818
112000,3,-8.53375,-642.536,1.19254,0.460167
113000,3,-9.17832,-639.775,0.940894,0.454
114000,2,-10.6553,-641.289,1.80099,0.449
115000,2,-4.52307,-645.298,2.31747,0.4225
116000,3,-0.488314,-646.102,0.574996,0.426833
117000,4,-0.570872,-647.093,3.26296,0.431
118000,2,-6.10801,-643.998,1.9427,0.418
119000,2,-5.25707,-652.345,0.972584,0.42325
120000,5,-2.43636,-642.769,4.3543,0.424
121000,2,-1.94669,-654.022,1.00977,0.4276
122000,3,-1.05379,-657.474,2.61342,0.373
123000,2,-0.0234166,-647.238,0.069281,0.445
124000,4,-4.56956,-641.04,3.41074,0.44075
125000,2,-4.56844,-642.334,0.338489,0.4426
126000,2,-6.65587,-646.464,3.65318,0.388
127000,4,3.03514,-642.784,0.96223,0.424333
128000,2,-3.95996,-643.22,1.55962,0.431
129000,2,-2.20277,-648.508,1.02712,0.411667
130000,2,-3.52723,-647.104,0.525881,0.413
131000,2,-2.96536,-651.211,2.03478,0.414333
132000,3,-4.50583,-649.42,0.956318,0.4395
133000,3,-1.44161,-654.457,3.98583,0.4271
134000,3,-4.39312,-656.752,4.10823,0.5
135000,2,-4.33557,-649.007,1.13121,0.428
136000,2,-2.51268,-644.655,1.63793,0.408
137000,6,7.20138,-644.147,2.79144,0.475
138000,3,-9.79693,-641.828,1.04378,0.430273
139000,3,-5.2294,-657.407,3.14264,0.462286
140000,5,10.9766,-655.786,2.16617,0.456
141000,3,-0.831382,-645.409,4.39632,0.435
142000,2,-6.27633,-645.821,1.55538,0.481
143000,4,-4.38929,-648.28,2.25293,0.4548
144000,3,-2.71524,-644.158,1.57207,0.474
145000,2,-8.08631,-636.737,0.884598,0.434
146000,3,-0.851284,-652.587,2.01625,0.470667
147000,6,0.396465,-652.578,3.40516,0.4471
148000,3,-2.14258,-643.216,1.24296,0.483
149000,4,-3.96684,-640.915,3.16567,0.448
150000,4,-0.856493,-641.331,1.71147,0.448
151000,2,-0.0782267,-649.373,0.70726,0.4366
152000,3,-1.50215,-647.408,1.58757,0.448286
153000,4,4.7355,-656.407,1.26527,0.512
154000,2,-6.10477,-644.621,1.44512,0.402
155000,3,1.16016,-647.413,1.41973,0.399
156000,3,-0.705705,-646.266,2.01053,0.465
157000,2,-1.51559,-646.187,1.20917,0.457286
158000,4,-8.63193,-639.832,3.18177,0.430875
159000,3,-14.9698,-644.453,3.09152,0.394
160000,3,-9.93952,-637.81,0.820737,0.429
161000,4,-4.78769,-639.084,3.35002,0.46
162000,2,-6.60231,-640.694,0.713436,0.434
163000,5,-0.00273619,-640.628,3.86828,0.441917
164000,3,-6.80648,-642.029,2.46281,0.461
165000,2,-3.38251,-646.415,1.95743,0.434667
166000,2,-1.99631,-649.939,1.10411,0.456
167000,3,2.96733,-649.02,0.388308,0.433
168000,2,-3.26217,-659.21,2.43173,0.445
169000,3,-4.52968,-646.705,1.01603,0.521
170000,3,1.15978,-651.213,0.672512,0.392
171000,2,-1.98907,-645.922,0.783178,0.46
172000,3,0.395477,-647.922,1.98271,0.416
173000,1,1.14422,-668.093,0.938593,0.429875
174000,2,-3.8408,-645.476,1.36192,0.459
175000,3,-6.81538,-645.469,2.08437,0.438182
176000,2,-8.01095,-642.634,1.46356,0.432
177000,3,-1.60802,-657.657,2.29668,0.444952
178000,3,-5.59801,-648.773,4.30362,0.464
179000,5,1.31333,-648.264,2.35842,0.464
180000,2,-4.11497,-647.694,1.97477,0.47
181000,4,-2.05493,-642.834,3.05114,0.4496
182000,3,-8.20516,-645.239,2.71961,0.511
183000,3,-1.04043,-646.448,1.6447,0.448
184000,3,-3.41041,-646.394,1.67142,0.4359
185000,3,3.34822,-652.177,0.698598,0.425
186000,2,-0.686812,-644.721,1.16467,0.438
187000,2,-7.27766,-646.095,1.78114,0.427286
188000,2,-2.34701,-647.842,1.45,0.439
189000,4,-2.10849,-642.672,2.7751,0.481
190000,3,-6.97413,-645.271,1.16586,0.49
191000,2,-13.8135,-640.096,2.25693,0.419
192000,1,-5.67575,-653.004,1.20492,0.414111
193000,3,3.99808,-657.975,1.67328,0.411
