Taxa	Variant_Category	Variant_Pattern	Radlkofer_section	Last_classification	This_study
Acevedoa_integerrimum_a	Typical	Typical	Ceratadenia	Ceratadenia	Acevedoa
Allophylastrum_frutescens	Typical	Typical	NA	NA	NA
Allophylus_leucoclados	Typical	Typical	NA	NA	NA
Allophylus_psilospermus	Typical	Typical	NA	NA	NA
Allophylus_semidentatus	Typical	Typical	NA	NA	NA
Athyana_weinmanniifolia	Typical	Typical	NA	NA	NA
Bridgesia_incisifolia	Typical	Typical	NA	NA	NA
Cardiospermum_anomalum	Typical	Typical	Carphospermum	Carphospermum	Cardiospermum
Cardiospermum_corindum_a	Typical	Typical	Brachyadenia	Brachyadenia	Cardiospermum
Cardiospermum_grandiflorum_a	Typical	Typical	Ceratadenia	Ceratadenia	Cardiospermum
Cardiospermum_halicacabum_a	Typical	Typical	Brachyadenia	Brachyadenia	Cardiospermum
Cardiospermum_urvilleoides	Typical	Typical	Unplaced	Unplaced	Urvillea II
Diatenopteryx_sorbifolia	Typical	Typical	NA	NA	NA
Lophostigma_plumosum_a	Typical	Typical	NA	NA	Lophostigma
Lophostigma_schunkei_a	Typical	Typical	NA	NA	Lophostigma
Paullinia_acutangula_a	Cambial	Phloem-wedges	Caloptilon	Caloptilon	Paullinia VI
Paullinia_alata_a	Procambial	Compound	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_alsmithii	Procambial	Compound	Unplaced	Unplaced	Paullinia VI
Paullinia_anodonta	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_austin-smithii	Cambial	Lobed	Unplaced	Unplaced	Paullinia VIII
Paullinia_bicorniculata_a	Typical	Typical	Unplaced	Unplaced	Paullinia IV/V
Paullinia_bidentata	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_bilobulata_a	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_boliviana	Cambial	Lobed	Caloptilon	Caloptilon	Paullinia VI
Paullinia_bracteosa	Cambial	Typical	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_capreolata_a	Typical	Typical	Enourea	Enourea	Paullinia IV/V
Paullinia_carpopoda	Cambial	Lobed	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_cauliflora_a	Cambial	Lobed	Caloptilon	Caloptilon	Paullinia VI
Paullinia_cearensis	Typical	Typical	Unplaced	Unplaced	Paullinia IV/V
Paullinia_cf._microneura	Typical	Typical	Unplaced	Unplaced	Paullinia I
Paullinia_clavigera_a	Cambial	Phloem-wedges	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_coriacea_a	Typical	Typical	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_correae	Typical	Typical	Unplaced	Unplaced	Paullinia VII
Paullinia_costata	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_cristata	Typical	Typical	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_cururu_a	Procambial	Compound	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_dasystachya	Cambial	Phloem-wedges	Caloptilon	Caloptilon	Paullinia VI
Paullinia_degranvillei	Typical	Typical	Unplaced	Unplaced	Paullinia IV/V
Paullinia_densiflora	Procambial	Compound	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_dodgei	Typical	Typical	Unplaced	Unplaced	Paullinia VII
Paullinia_echinata	Typical	Typical	Castanella	Castanella	Paullinia I
Paullinia_elegans_a	Procambial	Compound	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_elliptica	Typical	Typical	Unplaced	Unplaced	Paullinia I
Paullinia_enneaphylla	Typical	Typical	Caloptilon	Caloptilon	Paullinia VII
Paullinia_eriocarpa_a	Procambial	Compound	Unplaced	Unplaced	Paullinia VII
Paullinia_exalata	Procambial	Compound	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_ferruginea	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_fistulosa	Typical	Typical	Caloptilon	Caloptilon	Paullinia VI
Paullinia_fuscescens	Typical	Typical	Caloptilon	Caloptilon	Paullinia I
Paullinia_globosa_a	Cambial	Phloem-wedges	Unplaced	Unplaced	Paullinia VII
Paullinia_granatensis	Typical	Typical	Castanella	Castanella	Paullinia I
Paullinia_hystrix	Typical	Typical	Castanella	Castanella	Paullinia I
Paullinia_imberbis_a	Cambial	Phloem-wedges	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_ingifolia_a	Typical	Typical	Pachytoechus	Pachytoechus	Paullinia IV/V
Paullinia_jamaicensis	Typical	Typical	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_josecuatrii	Cambial	Phloem-wedges	Unplaced	Unplaced	Paullinia IV/V
Paullinia_killipii	Cambial	Lobed+Phloem-wedges	Unplaced	Unplaced	Paullinia VII
