Taxa	Typical	Procambial_Variants	Cambial_Variants	Ectopic_cambia
A.integerrimum_a	2	1	1	1
Allophylastrum_frutescens	2	1	1	1
Allophylus_leucoclados	2	1	1	1
Allophylus_psilospermus	2	1	1	1
Allophylus_semidentatus	2	1	1	1
Athyana_weinmanniifolia	2	1	1	1
Bridgesia_incisifolia	2	1	1	1
C.anomalum	2	1	1	1
C.corindum_a	2	1	1	1
C.grandiflorum_a	2	1	1	1
C.halicacabum_a	2	1	1	1
C.urvilleoides	2	1	1	1
Diatenopteryx_sorbifolia	2	1	1	1
L.plumosum_a	2	1	1	1
L.schunkei_a	2	1	1	1
P.sp.b	2	1	1	1
P.anodonta	2	1	1	1
P.bicorniculata_a	2	1	1	1
P.bidentata	2	1	1	1
P.bilobulata_a	2	1	1	1
P.bracteosa	2	1	1	1
P.capreolata_a	2	1	1	1
P.cearensis	2	1	1	1
P.cf.microneura	2	1	1	1
P.coriacea_a	2	1	1	1
P.correae	2	1	1	1
P.costata	2	1	1	1
P.cristata	2	1	1	1
P.degranvillei	2	1	1	1
P.dodgei	2	1	1	1
P.echinata	2	1	1	1
P.elliptica	2	1	1	1
P.enneaphylla	2	1	1	1
P.ferruginea	2	1	1	1
P.fistulosa	2	1	1	1
P.fuscescens	2	1	1	1
P.granatensis	2	1	1	1
P.hystrix	2	1	1	1
P.ingifolia_a	2	1	1	1
P.jamaicensis	2	1	1	1
P.lingulata	2	1	1	1
P.livescens	2	1	1	1
P.meliifolia	2	1	1	1
P.olivacea_a	2	1	1	1
P.paullinioides	2	1	1	1
P.plagioptera	2	1	1	1
P.platymisca_a	2	1	1	1
P.prevostiana_a	2	1	1	1
P.reticulata_a	2	1	1	1
P.revoluta	2	1	1	1
P.rhomboidea	2	1	1	1
P.setosa_a	2	1	1	1
P.stenopetala	2	1	1	1
P.tetragona	2	1	1	1
P.tomentosa	2	1	1	1
P.tricornis	2	1	1	1
P.unifoliolata	2	1	1	1
P.venezuelana	2	1	1	1
P.vespertilio_a	2	1	1	1
P.xestophylla_a	2	1	1	1
S.acuta	2	1	1	1
S.ampelopsis	2	1	1	1
S.bahiana	2	1	1	1
S.biternata	2	1	1	1
S.brachycarpa	2	1	1	1
S.calligera	2	1	1	1
S.coradinii	2	1	1	1
S.dura	2	1	1	1
S.emarginata	2	1	1	1
S.eriocarpa_a	2	1	1	1
S.flaviflora	2	1	1	1
S.foveata	2	1	1	1
S.glutinosa	2	1	1	1
S.grammatophora	2	1	1	1
S.lateritia	2	1	1	1
S.laxiflora	2	1	1	1
S.mansiana_a	2	1	1	1
S.membranacea	2	1	1	1
S.orbicularis	2	1	1	1
S.oxyphylla	2	1	1	1
S.pedicellaris	2	1	1	1
S.platycarpa_a	2	1	1	1
S.polystachya	2	1	1	1
S.psilophylla	2	1	1	1
S.pterarthra	2	1	1	1
S.rufisepala	2	1	1	1
S.serjanioides	2	1	1	1
S.striata	2	1	1	1
T.compressa_a	2	1	1	1
T.myriantha_a	2	1	1	1
T.paraguaiensis_a	2	1	1	1
T.silveirae	2	1	1	1
T.trifoliolata_a	2	1	1	1
Thouinia_acuminata	2	1	1	1
Thouinia_trifoliata	2	1	1	1
U.intermedia	2	1	1	1
U.oliveirae	2	1	1	1
S.erythrocaulis	1	2	1	1
S.lancistipula	1	2	1	1
P.alata_a	1	3	1	1
P.alsmithii	1	3	1	1
P.cururu_a	1	3	1	1
P.densiflora	1	3	1	1
P.elegans_a	1	3	1	1
P.eriocarpa_a	1	3	1	1
P.exalata	1	3	1	1
P.leiocarpa_a	1	3	1	1
P.macrophylla	1	3	1	1
P.neglecta_a	1	3	1	1
P.pinnata_a	1	3	1	1
P.spicata	1	3	1	1
P.trilatera	1	3	1	1
S.acutidentata	1	3	1	1
S.adenophylla	1	3	1	1
S.atrolineata_a	1	3	1	1
S.cardiospermoides	1	3	1	1
S.clematidifolia	1	3	1	1
S.columbiana	1	3	1	1
S.communis_a	1	3	1	1
S.confertiflora_a	1	3	1	1
S.crassifolia	1	3	1	1
S.diffusa	1	3	1	1
S.dumicola	1	3	1	1
S.ferruginea	1	3	1	1
S.fluminensis_a	1	3	1	1
S.fuscifolia	1	3	1	1
S.hatschbachii	1	3	1	1
S.impressa	1	3	1	1
S.inebrians	1	3	1	1
S.inflata	1	3	1	1
S.inscripta	1	3	1	1
S.insignis	1	3	1	1
S.laruotteana	1	3	1	1
S.leptocarpa	1	3	1	1
S.longistipula	1	3	1	1
S.marginata_a	1	3	1	1
S.mollis_a	1	3	1	1
S.monogyna	1	3	1	1
S.noxia	1	3	1	1
S.nutans	1	3	1	1
S.ovalifolia	1	3	1	1
S.paniculata	1	3	1	1
S.paucidentata_a	1	3	1	1
S.purpurascens	1	3	1	1
S.rhombea	1	3	1	1
S.rigida	1	3	1	1
S.rufa_a	1	3	1	1
S.seemannii	1	3	1	1
S.seriana_a	1	3	1	1
S.sphaerococca_a	1	3	1	1
S.subrotundifolia	1	3	1	1
S.sufferruginea	1	3	1	1
S.tailloniana	1	3	1	1
S.tenuifolia	1	3	1	1
S.tenuis	1	3	1	1
S.trachygona	1	3	1	1
S.tripleuria	1	3	1	1
S.triquetra	1	3	1	1
S.unidentata	1	3	1	1
S.yucatanensis	1	3	1	1
P.austin-smithii	1	1	4	1
P.boliviana	1	1	4	1
P.carpopoda	1	1	4	1
P.cauliflora_a	1	1	4	1
P.macrocarpa_a	1	1	4	1
P.nobilis	1	1	4	1
P.obovata	1	1	4	1
P.selenoptera_a	1	1	4	1
P.serjaniifolia_a	1	1	4	1
P.stipularis	1	1	4	1
P.trisulca_a	1	1	4	1
P.verecunda_a	1	1	4	1
U.andersonii	1	1	4	1
U.chacoensis_a	1	1	4	1
U.glabra	1	1	4	1
U.ulmacea_a	1	1	4	1
U.laevis_a	1	1	3	1
P.acutangula_a	1	1	2	1
P.clavigera_a	1	1	2	1
P.dasystachya	1	1	2	1
P.globosa_a	1	1	2	1
P.imberbis_a	1	1	2	1
P.josecuatrii	1	1	2	1
P.latifolia	1	1	2	1
P.sp.d	1	1	2	1
P.rugosa_a	1	1	2	1
P.simulans_a	1	1	2	1
P.turbacensis	1	1	2	1
S.altissima	1	1	2	1
S.cornigera_a	1	1	2	1
S.racemosa	1	1	2	1
S.rubicaulis	1	1	2	1
S.salzmanniana	1	1	2	1
S.subimpunctata	1	1	2	1
S.tristis	1	1	2	1
S.scopulifera	1	3	2	1
P.killipii	1	1	5	1
P.rubiginosa_a	1	1	5	1
P.stellata	1	1	5	1
U.stipitata	1	1	5	1
U.uniloba_a	1	1	5	1
P.micrantha_a	1	1	1	2
P.pseudota	1	1	1	2
P.trigonia	1	1	1	2
P.weinmanniifolia_a	1	1	1	2
S.faveolata	1	1	1	2
S.meridionalis_a	1	1	1	2
T.mucronata_a	1	1	1	2
T.scandens	1	1	1	2
T.ventricosa_a	1	1	1	2
U.filipes	1	1	1	2
S.corrugata_a	1	2	1	2
S.paradoxa	1	2	1	2
S.caracasana	1	3	1	2
S.perulacea	1	3	1	2
S.piscatoria	1	3	3	2
S.mexicana_a	1	1	2	2
S.pyramidata_a	1	3	2	2
