Taxa	Variant_Category	Variant_Pattern	Habit	Tendrils	Radlkofer_section	Last_classification	This_study
Pacevedoa_integerrimum_a	Typical	Typical	Liana	Present	Ceratadenia	Ceratadenia	Pacevedoa
Allophylastrum_frutescens	Typical	Typical	Tree	Absent	NA	NA	NA
Allophylus_leucoclados	Typical	Typical	Tree	Absent	NA	NA	NA
Allophylus_psilospermus	Typical	Typical	Tree	Absent	NA	NA	NA
Allophylus_semidentatus	Typical	Typical	Tree	Absent	NA	NA	NA
Athyana_weinmanniifolia	Typical	Typical	Tree	Absent	NA	NA	NA
Bridgesia_incisifolia	Typical	Typical	Shrub	Absent	NA	NA	NA
Cardiospermum_anomalum	Typical	Typical	Liana	Present	Carphospermum	Carphospermum	Cardiospermum
Cardiospermum_corindum_a	Typical	Typical	Liana	Present	Brachyadenia	Brachyadenia	Cardiospermum
Cardiospermum_grandiflorum_a	Typical	Typical	Liana	Present	Ceratadenia	Ceratadenia	Cardiospermum
Cardiospermum_halicacabum_a	Typical	Typical	Liana	Present	Brachyadenia	Brachyadenia	Cardiospermum
Cardiospermum_urvilleoides	Typical	Typical	Liana	Present	Unplaced	Unplaced	Urvillea II
Diatenopteryx_sorbifolia	Typical	Typical	Tree	Absent	NA	NA	NA
Lophostigma_plumosum_a	Typical	Typical	Liana	Present	NA	NA	Lophostigma
Lophostigma_schunkei_a	Typical	Typical	Liana	Present	NA	NA	Lophostigma
Paullinia_acutangula_a	Cambial	Phloem-wedges	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_alata_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_alsmithii	Procambial	Compound	Liana	Present	Unplaced	Unplaced	Paullinia VI
Paullinia_anodonta	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_austin-smithii	Cambial	Lobed	Liana	Present	Unplaced	Unplaced	Paullinia VIII
Paullinia_bicorniculata_a	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_bidentata	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_bilobulata_a	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_boliviana	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_bracteosa	Cambial	Typical	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_capreolata_a	Typical	Typical	Liana	Present	Enourea	Enourea	Paullinia IV/V
Paullinia_carpopoda	Cambial	Lobed	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_cauliflora_a	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_cearensis	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_cf._microneura	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia I
Paullinia_clavigera_a	Cambial	Phloem-wedges	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_coriacea_a	Typical	Typical	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_correae	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_costata	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_cristata	Typical	Typical	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_cururu_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_dasystachya	Cambial	Phloem-wedges	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_degranvillei	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_densiflora	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_dodgei	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_echinata	Typical	Typical	Liana	Present	Castanella	Castanella	Paullinia I
Paullinia_elegans_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_elliptica	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia I
Paullinia_enneaphylla	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia VII
Paullinia_eriocarpa_a	Procambial	Compound	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_exalata	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_ferruginea	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_fistulosa	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_fuscescens	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia I
Paullinia_globosa_a	Cambial	Phloem-wedges	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_granatensis	Typical	Typical	Liana	Present	Castanella	Castanella	Paullinia I
Paullinia_hystrix	Typical	Typical	Liana	Present	Castanella	Castanella	Paullinia I
Paullinia_imberbis_a	Cambial	Phloem-wedges	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_ingifolia_a	Typical	Typical	Liana	Present	Pachytoechus	Pachytoechus	Paullinia IV/V
Paullinia_jamaicensis	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_josecuatrii	Cambial	Phloem-wedges	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
