"","Typical","Divided","Compound","Phloem-wedges","Fissured","Lobed","Ectopic-cambia","Divided+Ectopic-cambia","Compound+Ectopic-cambia","Compound+Fissured+Ectopic-cambia","Compound+Phloem-wedges","Compound+Phloem-wedges+Ectopic-cambia","Phloem-wedges+Ectopic-cambia","Lobed+Phloem-wedges"
"Typical",0,0.896,2.738,7.716,0.881,5.324,5.241,0.899,1.279,0.348,0.5,0.326,0.719,2.459
"Divided",0.272,0,0.052,0.162,0.022,0.079,0.07,0.828,0.023,0.021,0.049,0.027,0.023,0.068
"Compound",9.276,0.208,0,4.795,0.216,1.284,0.274,0.188,1.13,0.967,0.827,1.085,0.526,0.447
"Phloem-wedges",1.383,0.041,0.157,0,0.035,0.198,0.976,0.039,0.021,0.031,0.047,0.028,0.189,0.268
"Fissured",0.268,0.021,0.043,0.132,0,0.135,0.069,0.015,0.019,0.027,0.02,0.023,0.02,0.272
"Lobed",3.393,0.079,2.434,1.243,0.13,0,0.191,0.081,0.081,0.075,0.077,0.06,0.072,1.672
"Ectopic-cambia",1.576,0.033,0.058,0.186,0.027,0.114,0,0.035,0.027,0.037,0.024,0.036,0.022,0.085
"Divided+Ectopic-cambia",0.247,0.858,0.04,0.158,0.026,0.084,0.073,0,0.019,0.024,0.032,0.019,0.021,0.069
"Compound+Ectopic-cambia",0.251,0.023,0.047,0.141,0.029,0.07,0.062,0.024,0,0.023,0.011,0.012,0.02,0.061
"Compound+Fissured+Ectopic-cambia",0.224,0.016,0.039,0.142,0.019,0.088,0.07,0.015,0.02,0,0.017,0.011,0.014,0.06
"Compound+Phloem-wedges",0.343,0.018,0.053,0.129,0.026,0.076,0.069,0.034,0.016,0.023,0,0.015,0.016,0.052
"Compound+Phloem-wedges+Ectopic-cambia",0.242,0.02,0.039,0.141,0.014,0.075,0.06,0.023,0.02,0.027,0.029,0,0.023,0.057
"Phloem-wedges+Ectopic-cambia",0.284,0.021,0.048,0.272,0.025,0.069,0.077,0.022,0.022,0.027,0.027,0.021,0,0.068
"Lobed+Phloem-wedges",0.271,0.018,0.058,0.365,0.228,0.445,0.083,0.032,0.017,0.039,0.024,0.031,0.03,0
