Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
ERR5006127	1490056	331752	22.3	352	348	346	244	240	231	31	102	178	187	159	0	0	167058
ERR5006146	13690584	2237089	16.3	351	350	341	336	325	309	17	6	13	244	106	0	0	199494
ERR5033193	976614	208688	21.4	351	343	340	327	314	279	13	13	20	219	121	0	0	199821
ERR5033209	3213160	504403	15.7	348	333	332	308	279	205	6	23	37	238	94	0	0	156315
ERR5033219	3463224	602535	17.4	352	345	345	332	320	280	9	13	28	229	116	0	0	194250
ERR5033221	14202906	3235720	22.8	352	349	344	334	332	309	20	12	18	275	74	0	0	206763
ERR5033278	8493378	1688164	19.9	349	342	338	320	293	236	8	16	30	219	119	0	0	167763
ERR5033461	4863666	1146634	23.6	350	346	342	332	324	286	9	10	19	184	159	0	0	194592
ERR5033464	7464750	1354072	18.1	352	348	346	334	332	308	16	13	21	205	142	0	0	210249
ERR5033474	5235676	1521155	29.1	351	347	345	338	325	277	6	7	11	224	122	0	0	191001
ERR5033478	4024964	977693	24.3	351	343	343	332	311	254	5	10	15	205	138	0	0	183951
ERR5033480	4814612	994472	20.7	351	345	340	303	292	243	8	37	80	213	129	0	0	172716
PAU100	21057480	16545737	78.6	352	351	171	123	112	82	1	48	92	137	201	0	0	46257
PAU101	5468664	3272859	59.8	351	348	347	323	299	244	9	20	49	192	155	0	0	176499
PAU102	7162046	5450946	76.1	351	350	309	274	253	203	6	37	101	170	178	0	0	131421
PAU103	4621852	3193458	69.1	352	349	327	286	267	212	5	37	84	164	183	0	0	150816
PAU105	18988644	8869254	46.7	347	343	225	195	175	138	0	27	49	163	178	0	0	92925
PAU106	15284808	9414385	61.6	351	349	323	285	253	182	8	34	54	286	61	0	0	136071
PAU107	20680236	11301185	54.6	350	349	307	280	241	160	4	22	36	256	90	0	0	122118
PAU108	3847138	2637910	68.6	352	348	341	327	289	208	6	12	31	158	186	0	0	160800
PAU109	3668434	2114694	57.6	352	349	345	321	279	199	6	17	45	199	147	0	0	159204
PAU11	12325564	7253439	58.8	349	347	308	263	245	195	4	42	70	221	124	0	0	127113
PAU115	26936686	17973948	66.7	350	350	274	229	205	143	7	45	69	254	92	0	0	97497
PAU116	5062208	3148554	62.2	352	350	337	306	268	191	9	28	49	213	133	0	0	149808
PAU117	7368408	5207555	70.7	352	350	263	242	211	143	3	22	55	191	157	0	0	104169
PAU119	69831412	32527522	46.6	352	351	221	200	175	125	3	21	39	202	137	0	0	83379
PAU12	15974986	8514023	53.3	350	349	327	307	284	225	2	17	28	270	77	0	0	152004
PAU121	6085206	4398195	72.3	351	351	336	307	283	219	6	29	52	227	121	0	0	159951
PAU123	19487822	14766282	75.8	352	351	239	188	163	117	2	50	92	201	147	0	0	78951
PAU125	12702322	5716245	45.0	348	346	327	309	262	179	3	15	23	248	96	0	0	134910
PAU126	3557554	2077524	58.4	351	349	343	316	270	191	8	24	49	207	138	0	0	153732
PAU127	10552118	8500657	80.6	351	349	280	228	217	184	5	56	116	193	155	0	0	109401
PAU129	4682276	3135660	67.0	352	349	333	314	273	188	5	17	42	213	134	0	0	147018
PAU13	18582954	11049997	59.5	350	348	257	217	198	155	3	40	79	186	160	0	0	100788
PAU130	17082278	12429644	72.8	352	350	193	122	107	70	3	73	120	174	168	0	0	47307
PAU131	18285522	13634237	74.6	351	350	250	223	189	125	4	27	69	200	145	0	0	87387
PAU133	47112082	18682066	39.7	352	349	238	212	175	116	2	26	52	204	139	0	0	82926
PAU136	8595534	5711397	66.4	352	350	310	269	238	163	8	41	77	209	139	0	0	122727
PAU137	26851336	15088969	56.2	350	348	274	248	207	136	4	21	40	221	123	0	0	102435
PAU139	18881324	7023548	37.2	350	346	308	294	250	167	6	12	25	218	124	0	0	127128
PAU14	29260288	13338850	45.6	350	349	281	263	245	187	2	21	33	231	114	0	0	124479
PAU142	14325304	9455704	66.0	352	350	323	281	245	180	9	39	66	287	60	0	0	133572
PAU143	33139410	20231331	61.0	351	349	266	240	195	130	3	24	44	235	110	0	0	94278
PAU15	53940452	36444403	67.6	350	348	201	180	158	116	5	23	78	183	141	0	0	71412
PAU152	27391698	18016518	65.8	348	348	277	260	241	200	7	16	40	256	91	0	0	124602
